Major,Minor,Name,"  91
CPG US ENTITIES CANADIAN GAAP"," 100
CPRP"," 105
CPEC"," 110
CPHI"," 120
CPEUSI"," 125
CPEUSC"," 127
CPUSHC"," 129
CONSOLDIATION / ELMINIATION ORG US"," 130
LUXCO - CRESPENT POINT ENERGY LUX SARL"," 131
LUXCO - CRESCENT POINT ENERGY LUX SARL"," 145
CRESCENT POINT ENERGY US CORP (CPEUS)"," 147
CRESCENT POINT US HOLDINGS CORP (CPEUSH)"," 149
CONSOLIDATION / ELIMINATION ORG US"," 191
IFRS 16 LEASES - US"," 198
CEO"," 206
UTE UPSTREAM HOLDINGS LLC"," 207
UTE ENERGY MANAGEMENT LLC"," 208
UTE ENERGY MANAGEMENT INC"," 213
LEGACY OIL + GAS INC"," 215
LEGACY COMMUNITY FOUNDATION",Total
100,7,GMP BANK - CPRP,0,0,"-1,807.51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-1,807.51"
100,50,ACQUISITIONCO BANK,0,"96,017,611.68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-72,268.40","95,945,343.28"
100,55,CASH - CONTRA ACCT,0,"-481,604,381.15","565,678,122.93","2,642.05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"84,076,383.83"
100,56,CONTRA ACCT - $USD,0,"-165,484,677.83","165,484,172.07",505.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02
100,100,SCOTIA BANK - CPRP,0,"481,604,381.15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"481,604,381.15"
100,101,SCOTIA BANK - CPRP - USD,0,"165,484,677.83",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"165,484,677.83"
100,105,SCOTIA BANK - CPEC,0,0,"-565,678,122.93",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-565,678,122.93"
100,106,SCOTIA BANK - CPEC - USD,0,0,"-164,232,921.95",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-164,232,921.95"
100,107,SCOTIA BANK - CPEC - HIGH INTEREST - USD,0,0,424.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424.13
100,110,SCOTIA BANK - CPHI,0,0,0,"-2,642.05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-2,642.05"
100,111,SCOTIA BANK - CPHI USD,0,0,0,-505.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-505.78
100,121,SCOTIA BANK - CPEUS CORP - CAD,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03
100,122,SCOTIA BANK - CPEUS CORP - USD #2,0,0,0,0,0,"-2,033.40",0,0,0,0,"-216,678.65",0,0,0,0,0,0,0,0,0,"-218,712.05"
100,123,SCOTIA BANK - CPEUS CORP - CAD - EXCALIB,0,0,0,0,0,"-9,796.83",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-9,796.83"
100,127,SCOTIA BANK - CPUSH - USD,0,0,0,0,0,5.87,-760.3,0,0,0,0,"-2,365.26",0,0,0,0,0,0,0,0,"-3,119.69"
100,130,ING - LUXCO,0,0,0,0,0,0,0,0,"60,496.98","60,496.98",0,0,0,0,0,0,0,0,0,0,"120,993.96"
100,131,SCOTIA BANK - LUXCO,0,0,0,0,0,0,0,0,"1,038,229.27","1,038,229.27",0,0,0,0,0,0,0,0,0,0,"2,076,458.54"
100,135,CPEUS WELLS FARGO - $USD,0,0,0,0,0,"-307,145.19",0,0,0,0,"-1,043,854.94",0,0,0,0,0,0,0,0,0,"-1,351,000.13"
